"id","trial_number","rt","response","attempt","correct","incorrect","ssd","answer","task","ReflectionSum","BroodingSum","DepressiveSum","IntrusiveSum","DeliberateSum","ReappraisalSum","SuppressionSum","SSRT"
"82",187,281.8000002,"Left",1,1,0,50,"Left","NoStop",11,15,27,8,15,32,18,543
"82",188,313.3,"Left",1,1,0,50,"Left","NoStop",11,15,27,8,15,32,18,543
"82",189,273.5,"Right",1,1,0,50,"Right","NoStop",11,15,27,8,15,32,18,543
"82",190,705.3,"Right",1,0,1,50,"NoGo","Stop",11,15,27,8,15,32,18,543
"82",191,211.7,"Left",1,1,0,50,"Left","NoStop",11,15,27,8,15,32,18,543
"82",192,740,"Left",1,0,1,50,"NoGo","Stop",11,15,27,8,15,32,18,543
"82",193,361.5,"Left",1,1,0,50,"Left","NoStop",11,15,27,8,15,32,18,543
"82",194,322.7,"Left",1,1,0,50,"Left","NoStop",11,15,27,8,15,32,18,543
"82",195,561,"Left",1,0,1,50,"NoGo","Stop",11,15,27,8,15,32,18,543
"82",196,748.8,"Right",1,0,1,50,"NoGo","Stop",11,15,27,8,15,32,18,543
"82",197,364.3,"Right",1,1,0,50,"Right","NoStop",11,15,27,8,15,32,18,543
"82",198,267.7,"Left",1,1,0,50,"Left","NoStop",11,15,27,8,15,32,18,543
"82",199,623.5,"Right",1,0,1,50,"NoGo","Stop",11,15,27,8,15,32,18,543
"82",200,724.8,"Left",1,0,1,50,"NoGo","Stop",11,15,27,8,15,32,18,543
"82",201,272.5999999,"Right",1,1,0,50,"Right","NoStop",11,15,27,8,15,32,18,543
"82",202,727.7,"Right",1,0,1,50,"NoGo","Stop",11,15,27,8,15,32,18,543
"82",203,264.3000002,"Left",1,1,0,50,"Left","NoStop",11,15,27,8,15,32,18,543
"82",204,728.3,"Right",1,0,1,50,"NoGo","Stop",11,15,27,8,15,32,18,543
"82",205,269.3000002,"Left",1,1,0,50,"Left","NoStop",11,15,27,8,15,32,18,543
"82",206,252.8999999,"Right",1,1,0,50,"Right","NoStop",11,15,27,8,15,32,18,543
"82",207,256.5999999,"Left",1,1,0,50,"Left","NoStop",11,15,27,8,15,32,18,543
"82",208,251.8,"Right",1,1,0,50,"Right","NoStop",11,15,27,8,15,32,18,543
"82",209,742.7,"Right",1,0,1,50,"NoGo","Stop",11,15,27,8,15,32,18,543
"82",210,366.4000001,"Right",1,1,0,50,"Right","NoStop",11,15,27,8,15,32,18,543
"82",211,225.8,"Left",1,1,0,50,"Left","NoStop",11,15,27,8,15,32,18,543
"82",212,277.3,"Right",1,1,0,50,"Right","NoStop",11,15,27,8,15,32,18,543
"82",213,239.4000001,"Left",1,1,0,50,"Left","NoStop",11,15,27,8,15,32,18,543
"82",214,177.7,"Right",1,0,1,50,"Left","NoStop",11,15,27,8,15,32,18,543
"82",215,313.9000001,"Left",1,1,0,50,"Left","NoStop",11,15,27,8,15,32,18,543
"82",216,200.8,"Right",1,0,1,50,"Left","NoStop",11,15,27,8,15,32,18,543
"82",217,294.8999999,"Right",1,1,0,50,"Right","NoStop",11,15,27,8,15,32,18,543
"82",218,278.8000002,"Left",1,1,0,50,"Left","NoStop",11,15,27,8,15,32,18,543
"82",219,318.3999999,"Right",1,1,0,50,"Right","NoStop",11,15,27,8,15,32,18,543
"82",220,453.7,"Right",1,1,0,50,"Right","NoStop",11,15,27,8,15,32,18,543
"82",221,244.3999999,"Left",1,1,0,50,"Left","NoStop",11,15,27,8,15,32,18,543
"82",222,760.5,"Right",1,0,1,50,"NoGo","Stop",11,15,27,8,15,32,18,543
"82",223,237.1999998,"Left",1,1,0,50,"Left","NoStop",11,15,27,8,15,32,18,543
"82",224,273.3000002,"Left",1,1,0,50,"Left","NoStop",11,15,27,8,15,32,18,543
"82",225,286.4000001,"Right",1,1,0,50,"Right","NoStop",11,15,27,8,15,32,18,543
"82",226,726.7,"Right",1,0,1,50,"NoGo","Stop",11,15,27,8,15,32,18,543
"82",227,302.8999999,"Left",1,1,0,50,"Left","NoStop",11,15,27,8,15,32,18,543
"82",228,244,"Right",1,1,0,50,"Right","NoStop",11,15,27,8,15,32,18,543
"82",229,221.9000001,"Left",1,1,0,50,"Left","NoStop",11,15,27,8,15,32,18,543
"82",230,220.5,"Right",1,0,1,50,"NoGo","Stop",11,15,27,8,15,32,18,543
