"id","trial_number","rt","response","attempt","correct","incorrect","ssd","answer","task"
16,"182",1251.31,"NoGo",NA,1,0,250,"NoGo","Stop"
16,"183",489.0999999,"Left",1,1,0,300,"Left","NoStop"
16,"184",360.3000001,"Right",1,1,0,300,"Right","NoStop"
16,"185",305.9,"Left",1,1,0,300,"Left","NoStop"
16,"186",1201.103,"NoGo",NA,1,0,300,"NoGo","Stop"
16,"187",214.7,"Left",1,0,1,350,"NoGo","Stop"
16,"188",182.1999999,"Right",1,1,0,300,"Right","NoStop"
16,"189",1201.276,"NoGo",NA,1,0,300,"NoGo","Stop"
16,"190",217.6999999,"Right",1,1,0,350,"Right","NoStop"
16,"191",1151.12,"NoGo",NA,1,0,350,"NoGo","Stop"
16,"192",306.4,"Right",1,1,0,400,"Right","NoStop"
16,"193",371.9,"Right",1,1,0,400,"Right","NoStop"
16,"194",299.1,"Right",1,0,1,400,"NoGo","Stop"
16,"195",182.4,"Right",1,1,0,350,"Right","NoStop"
16,"196",19.19999993,"Right",1,1,0,350,"Right","NoStop"
16,"197",321.5,"Right",1,0,1,350,"NoGo","Stop"
16,"198",68.10000002,"Right",1,1,0,300,"Right","NoStop"
16,"199",36.80000007,"Right",1,1,0,300,"Right","NoStop"
16,"200",17.39999998,"Right",1,1,0,300,"Right","NoStop"
16,"201",212.9,"Left",1,1,0,300,"Left","NoStop"
16,"202",77.39999998,"Right",1,1,0,300,"Right","NoStop"
16,"203",152.1,"Left",1,1,0,300,"Left","NoStop"
16,"204",174.2,"Left",1,1,0,300,"Left","NoStop"
16,"205",21.80000007,"Right",1,1,0,300,"Right","NoStop"
16,"206",229.8,"Left",1,1,0,300,"Left","NoStop"
16,"207",228.6,"Left",1,1,0,300,"Left","NoStop"
16,"208",132.2,"Left",1,1,0,300,"Left","NoStop"
16,"209",168.1,"Left",1,1,0,300,"Left","NoStop"
16,"210",99.70000005,"Left",1,1,0,300,"Left","NoStop"
16,"211",109.4,"Right",1,1,0,300,"Right","NoStop"
16,"212",125.9,"Right",1,1,0,300,"Right","NoStop"
16,"213",2.899999976,"Left",1,1,0,300,"Left","NoStop"
16,"214",134.1,"Left",1,1,0,300,"Left","NoStop"
16,"215",61.5999999,"Left",1,1,0,300,"Left","NoStop"
16,"216",155.3,"Right",1,1,0,300,"Right","NoStop"
16,"217",101,"Right",1,0,1,300,"NoGo","Stop"
16,"218",182.9,"Left",1,0,1,250,"NoGo","Stop"
16,"219",459.3,"Right",1,1,0,200,"Right","NoStop"
16,"220",180.9,"Right",1,1,0,200,"Right","NoStop"
16,"221",252.4,"Right",1,1,0,200,"Right","NoStop"
16,"222",218.8000001,"Left",1,1,0,200,"Left","NoStop"
16,"223",180.4,"Left",1,1,0,200,"Left","NoStop"
16,"224",151.5,"Left",1,0,1,200,"NoGo","Stop"
16,"225",1351.241,"NoGo",NA,1,0,150,"NoGo","Stop"
