"Schedule.ID","Participant.Public.ID","Trial.Number","Reaction.Time","Response","Attempt","Correct","Incorrect","ssd","display","ANSWER","Task"
23220956,3,"49",84.5,"Left",1,0,1,400,"craving","NoGo","Stop"
23220956,3,"50",156.2,"Left",1,1,0,350,"craving","Left","NoStop"
23220956,3,"51",215.6999999,"Left",1,1,0,350,"craving","Left","NoStop"
23220956,3,"52",164.8000001,"Right",1,1,0,350,"craving","Right","NoStop"
23220956,3,"53",114.1,"Left",1,0,1,350,"craving","NoGo","Stop"
23220956,3,"54",136.9,"Left",1,1,0,300,"craving","Left","NoStop"
23220956,3,"55",143.9,"Left",1,1,0,300,"craving","Left","NoStop"
23220956,3,"56",142.4,"Right",1,1,0,300,"craving","Right","NoStop"
23220956,3,"57",156.6999999,"Right",1,1,0,300,"craving","Right","NoStop"
23220956,3,"58",278.2,"Left",1,1,0,300,"craving","Left","NoStop"
23220956,3,"59",110.5,"Right",1,1,0,300,"craving","Right","NoStop"
23220956,3,"60",178,"Left",1,1,0,300,"craving","Left","NoStop"
23220956,3,"61",1013.1,"Right",1,1,0,300,"craving","Right","NoStop"
23220956,3,"62",80.60000002,"Right",1,0,1,300,"craving","NoGo","Stop"
23220956,3,"63",266.1999999,"Left",1,1,0,250,"craving","Left","NoStop"
23220956,3,"64",158.9,"Left",1,1,0,250,"craving","Left","NoStop"
23220956,3,"65",122.4,"Left",1,1,0,250,"craving","Left","NoStop"
23220956,3,"66",49.29999995,"Left",1,1,0,250,"craving","Left","NoStop"
23220956,3,"67",234.8000001,"Right",1,1,0,250,"craving","Right","NoStop"
23220956,3,"68",382.3,"Right",1,1,0,250,"craving","Right","NoStop"
23220956,3,"69",99.69999993,"Right",1,1,0,250,"craving","Right","NoStop"
23220956,3,"70",169.1,"Left",1,1,0,250,"craving","Left","NoStop"
23220956,3,"71",197.1999999,"Right",1,1,0,250,"craving","Right","NoStop"
23220956,3,"72",44.29999995,"Right",1,0,1,250,"craving","NoGo","Stop"
23220956,3,"73",179.8,"Left",1,1,0,200,"craving","Left","NoStop"
23220956,3,"74",139.8,"Left",1,1,0,200,"craving","Left","NoStop"
23220956,3,"75",193.3,"Right",1,1,0,200,"craving","Right","NoStop"
23220956,3,"76",145.2,"Left",1,1,0,200,"craving","Left","NoStop"
23220956,3,"77",363.5999999,"Right",1,1,0,200,"craving","Right","NoStop"
23220956,3,"78",224.8,"Right",1,1,0,200,"craving","Right","NoStop"
23220956,3,"79",148.6999999,"Left",1,1,0,200,"craving","Left","NoStop"
23220956,3,"80",178.1,"Right",1,0,1,200,"craving","NoGo","Stop"
23220956,3,"81",219.4,"Left",1,1,0,150,"craving","Left","NoStop"
23220956,3,"82",213.8000001,"Right",1,1,0,150,"craving","Right","NoStop"
